GID,TIMESTAMP,CROP_ID,ADULTS,SMALL_INSTARS,LARGE_INSTARS,TEMPERATURE_AVG,TEMPERATURE_MAX,TEMPERATURE_MIN,HUMIDITY_AVG,HUMIDITY_MAX,HUMIDITY_MIN,PRECIPITATIONS,WINDSPEED_AVG,WINDSPEED_MAX,TOTAL_CAPTURES
149,2020-04-27,41,0.0,0.0,0.0,16.9666687011719,22.6833333333334,10.5500020345052,63.5,84.83333333333333,41.5,2.19999885559082,1.499999950329463,3.200000087420145,0.0
144,2020-04-27,31,0.0,0.0,0.0,15.7857169015067,22.8857186453683,8.04286237444199,64.5714285714286,90.14285714285714,39.0,4.00000071525574,1.657142877578735,3.157142843518938,0.0
215,2020-04-27,47,5.0,0.0,0.0,17.0374961853028,22.7875038146973,11.1499992370606,53.0,72.375,36.25,2.59999942779541,2.625000044703484,4.737500220537186,5.0
222,2020-04-27,19,1.0,0.0,0.0,16.9428606305804,23.4571428571429,9.41427873883931,59.8571428571429,90.57142857142856,38.14285714285715,3.29999923706055,2.85714294229235,5.471428734915597,1.0
217,2020-04-27,19,9.0,0.0,0.0,17.0285714285715,22.8857099260603,10.3714320591518,58.4285714285714,84.42857142857143,39.57142857142857,5.0,2.657142860548837,5.000000068119594,9.0
31,2020-04-27,41,6.0,0.0,0.0,17.7714303152902,23.2714303152902,12.1428553989956,49.8571428571429,68.0,35.57142857142857,1.29999923706055,2.571428622518267,4.371428694043841,6.0
220,2020-04-27,18,1.0,0.0,0.0,17.0571358816965,23.3285679408482,9.87142333984377,58.5714285714286,87.42857142857143,38.14285714285715,3.20000076293945,2.785714438983372,5.314285891396659,1.0
24,2020-04-27,47,2.0,0.0,0.0,16.8714233398438,23.1714242117746,9.64285539899556,61.1428571428571,84.57142857142857,41.28571428571429,3.19999885559082,2.114285673413958,3.885714326586041,2.0
219,2020-04-27,42,5.0,0.0,0.0,17.0571358816965,23.3285679408482,9.87142333984377,58.5714285714286,87.42857142857143,38.14285714285715,3.20000076293945,2.785714438983372,5.314285891396659,5.0
214,2020-04-27,44,3.0,0.0,0.0,17.0374961853028,22.7875038146973,11.1499992370606,53.0,72.375,36.25,2.59999942779541,2.625000044703484,4.737500220537186,3.0
