@relation TechnoGym-weka.filters.unsupervised.attribute.Remove-R10-11

@attribute started_startofweekdate date dd/MM/yyyy
@attribute id_user numeric
@attribute id_facility numeric
@attribute count_session numeric
@attribute count_step numeric
@attribute count_physicalactivity numeric
@attribute sum_assignedmove numeric
@attribute sum_performedduration numeric
@attribute sum_performedweight numeric
@attribute avg_session_length numeric
@attribute pa_compliance numeric
@attribute muscle_compliance numeric
@attribute execise_quality_compliance numeric
@attribute month numeric
@attribute user_sex {M,F}
@attribute user_age numeric
@attribute facility_nation {IT}
@attribute facility_hasunity {true,false}
@attribute facility_hasartis {true,false}
@attribute WeeksSinceLastSession numeric
@attribute WeeksToNextSession numeric
@attribute weeks_since_membership numeric
@attribute id_membership numeric
@attribute cum_count_session numeric
@attribute weeks_to_drop numeric
@attribute count_session_rolling_sum2 numeric
@attribute count_session_rolling_sum8 numeric
@attribute rolling_frequency2 numeric
@attribute pa_compliance_rolling_avg2 numeric
@attribute pa_compliance_rolling_avg8 numeric
@attribute muscle_compliance_rolling_avg2 numeric
@attribute muscle_compliance_rolling_avg8 numeric
@attribute DropFlag {FALSE,TRUE}

@data
03/11/2014,89,1366,2,51,20,1348,4452,545.75,3159,0.776678,0.842856,0.930806,11,F,26,IT,true,false,1,4,3,318501,4,4,3,4,1.5,0.697858,0.795716,0.791127,0.858939,FALSE
10/11/2014,89,1366,0,0,0,?,0,0,0,0,0,0,11,F,26,IT,true,false,?,?,4,318501,4,4,2,4,1,0.388339,0.596787,0.421428,0.644204,FALSE
17/11/2014,89,1366,0,0,0,?,0,0,0,0,0,0,11,F,26,IT,true,false,?,?,5,318501,4,3,0,4,0,0,0.477429,0,0.515363,FALSE
24/11/2014,89,1366,0,0,0,?,0,0,0,0,0,0,11,F,26,IT,true,false,?,?,6,318501,4,2,0,4,0,0,0.397858,0,0.42947,FALSE
01/12/2014,89,1366,2,76,28,2194,0,0,0,0,0,0,12,F,26,IT,true,false,4,?,7,318501,6,1,2,6,1,0,0.341021,0,0.368117,TRUE
14/09/2015,185,4382,4,116,44,3212,12474,429,5778,0.703817,0.706743,0.651111,9,F,23,IT,true,true,?,1,1,971237,4,4,4,4,4,0.703817,0.703817,0.706743,0.706743,FALSE
21/09/2015,185,4382,5,145,55,4015,19680,697,5400,0.867808,0.881933,0.795627,9,F,23,IT,true,true,1,1,2,971237,9,4,9,9,4.5,0.785812,0.785812,0.794338,0.794338,FALSE
28/09/2015,185,4382,4,116,44,3212,11394,389.25,5524,0.611866,0.62246,0.54383,9,F,23,IT,true,true,1,1,3,971237,13,4,9,13,4.5,0.739837,0.72783,0.752196,0.737045,FALSE
20/10/2014,200,4312,1,45,17,1855,5652,251.25,5937,0.997082,0.997304,0.997796,10,F,32,IT,false,false,?,1,1,942827,1,4,1,1,1,0.997082,0.997082,0.997304,0.997304,FALSE
27/10/2014,200,4312,3,135,51,5565,12024,577.5,3246,0.664787,0.659239,0.671315,10,F,32,IT,false,false,1,1,2,942827,4,4,4,4,2,0.830935,0.830935,0.828272,0.828272,FALSE
